user_id,item_id,score
195,3721,43.0
195,1183,0.0036851894
343,2501,123.0
343,1183,0.0014885254
419,2278,102.0
419,1183,0.0020466372
424,911,258.0
424,1183,0.0009519756
496,3328,258.0
496,1183,0.00077147037
648,2501,259.0
648,1183,0.0009815544
937,3275,102.0
937,1183,0.00034504384
1019,2927,105.0
1019,1183,0.0010417579
1113,3204,133.0
1113,1183,0.00023126788
1317,2011,27.0
1317,1183,0.0003261586
1415,2501,3.0
1415,1183,0.0002692649
1425,1479,11.0
1425,1183,0.00079906546
1579,3328,122.0
1579,1183,0.000116093084
1647,251,128.0
1647,1183,0.00022566412
1912,1129,8.0
1912,1183,0.00031400612
2395,3275,122.0
2395,1183,0.0009845644
3172,1183,4.0
3172,1183,0.0018199803
3520,2927,114.0
3520,1183,0.00249983
3693,1702,126.0
3693,1183,0.00018529221
4277,1129,3.0
4277,1183,0.00022694515
4312,1479,96.0
4312,1183,0.007996611
4958,555,114.0
4958,1183,0.0004435405
5046,2011,3.0
5046,1183,0.0001654476
5312,3241,8.0
5312,1183,0.00020822277
5394,3328,3.0
5394,1183,0.000142999
5630,251,103.0
5630,1183,0.00031810626
