user_id,item_id,score
195,2706,104.0
195,1356,0.00091919303
424,2952,59.0
424,1356,0.0016935822
518,2248,86.0
518,1356,0.00019846857
624,3518,80.0
624,1356,7.834472e-05
736,2128,58.0
736,1356,0.0018806681
840,3298,65.0
840,1356,0.003798198
937,1206,140.0
937,1356,0.00046183134
1015,1884,73.0
1015,1356,0.001342928
1088,3707,165.0
1088,1356,0.0012385286
1101,2764,110.0
1101,1356,0.0010697767
1113,1080,59.0
1113,1356,0.0006532469
1246,2340,83.0
1246,1356,0.0007605511
1306,2580,107.0
1306,1356,0.00013801828
1425,750,87.0
1425,1356,0.00058533624
1447,918,86.0
1447,1356,9.566918e-05
1579,1417,154.0
1579,1356,0.00012697
1647,3581,86.0
1647,1356,0.00020675361
1733,1417,85.0
1733,1356,0.00020290539
1958,3518,7.0
1958,1356,7.455738e-05
2105,2340,79.0
2105,1356,3.5598874e-05
2860,2579,107.0
2860,1356,0.00079522654
3013,3911,81.0
3013,1356,0.0023764372
3462,1953,12.0
3462,1356,0.00013688207
3562,918,86.0
3562,1356,0.00012357533
4042,3948,108.0
4042,1356,0.008300241
4277,2340,59.0
4277,1356,0.00016672164
4600,2952,90.0
4600,1356,0.00074764714
4748,2340,80.0
4748,1356,0.0005737245
5312,1080,80.0
5312,1356,0.0005061701
5448,3275,11.0
5448,1356,0.0017702244
5484,2128,10.0
5484,1356,0.0028145516
5636,2764,89.0
5636,1356,0.00014759786
5654,1953,154.0
5654,1356,0.0019211285
5682,3275,11.0
5682,1356,0.0040535224
5948,1417,86.0
5948,1356,0.00010374561
