user_id,item_id,score
195,3477,20.0
195,1183,0.0034507066
424,2640,15.0
424,1183,0.0008347817
496,3477,11.0
496,1183,0.0005918592
624,251,28.0
624,1183,0.0002100647
1113,2436,26.0
1113,1183,0.00024057645
1348,3247,101.0
1348,1183,0.0009949245
1352,251,6.0
1352,1183,0.00023101736
1425,2165,33.0
1425,1183,0.0020600748
1524,2165,15.0
1524,1183,0.00025630835
1579,2427,26.0
1579,1183,0.0005213851
2176,1916,15.0
2176,1183,0.0017016381
3106,2640,99.0
3106,1183,0.00014172867
3519,1914,100.0
3519,1183,0.00025718007
3520,1916,32.0
3520,1183,0.0021904185
4277,2640,28.0
4277,1183,0.0013321303
4958,3477,17.0
4958,1183,8.559227e-05
5387,251,101.0
5387,1183,0.00015531201
5394,2131,14.0
5394,1183,0.000430624
5630,3147,19.0
5630,1183,0.0022120085
5654,3721,12.0
5654,1183,0.0005527884
