user_id,item_id,score
343,3362,278.0
343,1817,8.711609e-05
349,1449,321.0
349,1817,0.0009393282
424,2579,47.0
424,1817,0.0013479623
496,2539,47.0
496,1817,0.00094434246
839,2539,259.0
839,1817,0.002145294
911,3362,47.0
911,1817,0.00035819504
1063,3275,270.0
1063,1817,0.00020028306
1088,3535,8.0
1088,1817,0.002627858
1165,928,13.0
1165,1817,0.0021301787
1243,916,266.0
1243,1817,0.0014669318
1605,2539,237.0
1605,1817,0.0007480774
1733,1962,41.0
1733,1817,0.003095368
1980,2907,182.0
1980,1817,0.00018586661
2047,2888,14.0
2047,1817,0.00013887603
2176,3275,279.0
2176,1817,0.00024091231
3391,2011,321.0
3391,1817,8.1308186e-05
3471,2539,48.0
3471,1817,0.00051658973
3840,3188,322.0
3840,1817,0.00400215
4058,3275,205.0
4058,1817,0.00027800398
4126,1449,174.0
4126,1817,0.0012502372
4277,2539,28.0
4277,1817,0.0010535866
4312,1472,19.0
4312,1817,0.0018382736
4418,2624,321.0
4418,1817,0.0027295891
4697,2624,0.0
4697,1817,0.0020499378
5100,908,44.0
5100,1817,0.00029744953
5329,750,286.0
5329,1817,0.0023229271
5484,3362,27.0
5484,1817,0.001766732
5654,3362,27.0
5654,1817,0.0013968758
5948,928,13.0
5948,1817,0.00084685534
