user_id,item_id,score
229,928,215.0
229,3089,0.00043388736
349,1036,215.0
349,3089,0.0013893871
403,587,24.0
403,3089,0.00016118586
424,3089,13.0
424,3089,0.0016229115
496,2797,14.0
496,3089,0.0008945484
911,2797,228.0
911,3089,0.0002136454
1088,2324,10.0
1088,3089,0.0032676402
1597,2314,13.0
1597,3089,0.0015587509
1647,587,3.0
1647,3089,6.0554594e-05
1733,2797,226.0
1733,3089,0.00017440878
2047,1036,248.0
2047,3089,0.00015627965
3391,2624,253.0
3391,3089,0.00012555718
3462,2797,24.0
3462,3089,0.0009484142
3693,1225,220.0
3693,3089,0.00024660397
3840,1255,234.0
3840,3089,0.006971795
4126,2010,19.0
4126,3089,0.0018925415
4277,2409,254.0
4277,3089,0.0007858956
4418,1449,23.0
4418,3089,0.0025822856
4607,2010,254.0
4607,3089,0.0018045302
5100,1449,22.0
5100,3089,0.000523217
5312,1196,242.0
5312,3089,0.0005083969
5654,3735,24.0
5654,3089,0.00040990487
5948,3735,13.0
5948,3089,0.00047852937
5950,1078,248.0
5950,3089,0.004295185
