user_id,item_id,score
195,1921,272.0
195,1254,0.0014425032
343,154,232.0
343,1254,0.0023012029
398,2012,350.0
398,1254,6.687641e-05
424,996,238.0
424,1254,0.0015101209
624,3948,274.0
624,1254,0.00055384263
1088,3341,258.0
1088,1254,0.0017270762
1113,3354,257.0
1113,1254,0.000309092
1274,2583,238.0
1274,1254,0.0006330535
1426,2360,256.0
1426,1254,0.0005729273
1605,2502,270.0
1605,1254,0.0004382357
1912,1921,258.0
1912,1254,0.0007882109
1946,3341,257.0
1946,1254,0.00037767086
2648,2502,258.0
2648,1254,0.0025324821
2985,278,258.0
2985,1254,0.0011283737
3080,926,257.0
3080,1254,0.00044498174
3106,1629,69.0
3106,1254,0.00058966875
3158,2502,336.0
3158,1254,0.0006823973
3693,926,336.0
3693,1254,0.0005308641
3732,497,256.0
3732,1254,0.0020992272
4058,2502,336.0
4058,1254,0.00020984071
4126,1136,340.0
4126,1254,0.00021289615
4579,278,257.0
4579,1254,0.0011679716
4600,3948,341.0
4600,1254,0.00028244057
4829,2360,346.0
4829,1254,0.00031457376
4934,3341,337.0
4934,1254,0.000329555
5156,2502,257.0
5156,1254,0.00034417026
5172,2076,271.0
5172,1254,0.003551215
5557,670,235.0
5557,1254,0.0011909641
5654,2012,3.0
5654,1254,0.008973744
5841,3328,343.0
5841,1254,0.00032453798
5948,278,229.0
5948,1254,0.00083004683
