user_id,item_id,score
195,2360,365.0
195,1254,0.0009418586
343,2360,301.0
343,1254,0.0016305568
398,2355,290.0
398,1254,0.00045980513
419,3751,60.0
419,1254,0.0037184656
424,1270,385.0
424,1254,0.0015392858
648,3241,302.0
648,1254,0.0012389831
937,2501,304.0
937,1254,0.0007158965
1019,2501,334.0
1019,1254,0.0013320064
1088,3241,387.0
1088,1254,0.0012834221
1113,2240,379.0
1113,1254,0.0010623389
1317,1411,235.0
1317,1254,0.00090090046
1415,1287,167.0
1415,1254,0.0013140542
1579,2394,237.0
1579,1254,0.0024126205
1647,1136,393.0
1647,1254,0.0021501177
1912,3251,373.0
1912,1254,0.0011732863
2395,2488,382.0
2395,1254,0.0013577482
3158,3936,323.0
3158,1254,0.0011849445
3172,2927,281.0
3172,1254,0.0016878005
3693,3156,258.0
3693,1254,0.0007377034
4277,2324,335.0
4277,1254,0.0012620552
4312,12,60.0
4312,1254,0.0063572675
4958,923,3.0
4958,1254,0.006491839
5046,2117,332.0
5046,1254,0.0012509176
5312,2683,325.0
5312,1254,0.0015027937
5654,1254,61.0
5654,1254,0.007992626
