user_id,item_id,rating,timestamp,interaction
102,2212,4.0,2003-01-29 00:09:12,1
102,922,5.0,2003-01-29 00:08:01,1
102,926,5.0,2003-01-29 00:08:01,1
102,3099,5.0,2003-01-29 00:08:32,1
102,203,4.0,2003-01-29 00:11:54,1
102,2877,2.0,2003-01-29 00:12:55,1
102,2011,4.0,2003-01-29 00:11:54,1
102,2012,2.0,2003-01-29 00:12:16,1
102,2040,4.0,2003-01-29 00:12:34,1
195,2808,3.0,2003-02-02 21:08:38,1
343,2355,5.0,2003-02-02 21:09:19,1
343,3426,3.0,2003-02-02 19:12:14,1
349,2060,2.0,2003-01-30 23:33:12,1
349,1347,2.0,2003-01-30 23:37:10,1
349,2167,3.0,2003-01-30 23:45:53,1
349,788,3.0,2003-01-30 23:37:06,1
349,2412,2.0,2003-01-30 23:48:48,1
349,3081,2.0,2003-02-01 23:31:27,1
349,1717,2.0,2003-02-01 23:32:33,1
349,135,3.0,2003-01-30 23:35:14,1
349,145,3.0,2003-01-30 23:33:12,1
349,223,3.0,2003-01-30 23:34:42,1
349,185,3.0,2003-01-30 23:37:06,1
349,196,3.0,2003-01-30 23:38:15,1
349,2699,3.0,2003-01-30 23:33:12,1
349,65,2.0,2003-01-30 23:33:45,1
349,3785,3.0,2003-02-01 23:32:16,1
355,1449,4.0,2003-01-30 04:46:40,1
355,3536,4.0,2003-01-30 04:45:43,1
424,1935,5.0,2003-01-29 12:55:11,1
624,3341,4.0,2003-02-02 23:37:29,1
1015,3503,3.0,2003-01-29 00:32:26,1
1015,317,3.0,2003-01-29 00:35:10,1
1113,1394,4.0,2003-02-01 11:02:21,1
1113,527,4.0,2003-01-30 22:04:22,1
1579,1732,3.0,2003-02-01 09:05:13,1
1733,2511,5.0,2003-01-31 05:28:26,1
1733,1754,3.0,2003-01-29 00:11:34,1
1748,292,3.0,2003-01-29 21:09:45,1
1897,916,5.0,2003-01-30 01:59:30,1
1912,3794,2.0,2003-02-02 06:33:17,1
1912,3000,1.0,2003-01-29 06:58:13,1
1912,3598,1.0,2003-01-29 06:58:42,1
1946,144,4.0,2003-01-31 17:23:06,1
1946,1220,4.0,2003-01-31 17:23:06,1
2395,3178,5.0,2003-01-31 12:16:30,1
2648,2423,4.0,2003-02-02 04:37:11,1
2648,3421,5.0,2003-02-02 04:38:00,1
2648,247,4.0,2003-02-02 04:39:01,1
2648,3483,3.0,2003-02-02 04:47:02,1
2648,299,5.0,2003-02-02 04:46:50,1
2648,150,4.0,2003-02-02 04:40:47,1
2648,3524,3.0,2003-02-02 04:40:27,1
2648,3543,4.0,2003-02-02 04:45:38,1
2648,2763,4.0,2003-02-02 04:48:03,1
2648,1207,5.0,2003-02-02 04:37:11,1
2648,2013,3.0,2003-02-02 04:46:50,1
2648,1094,4.0,2003-02-02 04:37:47,1
3012,574,2.0,2003-02-01 02:41:42,1
3012,3793,3.0,2003-02-01 02:46:18,1
3012,2054,2.0,2003-02-01 02:35:10,1
3012,589,4.0,2003-02-01 02:44:21,1
3012,3,3.0,2003-02-01 02:34:30,1
3012,1261,3.0,2003-02-01 02:32:45,1
3012,1409,2.0,2003-02-01 02:36:57,1
3012,1265,4.0,2003-02-01 02:34:31,1
3012,1266,3.0,2003-02-01 02:45:22,1
3012,590,1.0,2003-02-01 02:31:08,1
3012,593,3.0,2003-02-01 02:40:47,1
3012,1270,4.0,2003-02-01 02:28:51,1
3012,1278,3.0,2003-02-01 02:46:17,1
3012,3020,4.0,2003-02-01 02:33:15,1
3012,3024,1.0,2003-02-01 02:39:15,1
3012,750,4.0,2003-02-01 02:31:52,1
3012,3033,3.0,2003-02-01 02:41:43,1
3012,2091,1.0,2003-02-01 02:39:47,1
3012,2093,1.0,2003-02-01 02:39:47,1
3012,1294,1.0,2003-02-01 02:36:27,1
3012,924,2.0,2003-02-01 02:26:20,1
3012,780,4.0,2003-02-01 02:35:10,1
3012,799,3.0,2003-02-01 02:34:06,1
3012,3070,2.0,2003-02-01 02:27:07,1
