user_id,item_id,score
195,278,200.0
195,2808,0.00028257095
343,3341,15.0
343,2808,0.00068667764
349,3178,13.0
349,2808,0.0009687762
424,309,14.0
424,2808,0.0021361783
624,2511,200.0
624,2808,0.0004037954
1113,1197,222.0
1113,2808,0.00046623126
1426,2013,14.0
1426,2808,0.00023204973
1579,1197,13.0
1579,2808,0.00026054052
1733,1799,222.0
1733,2808,0.0004516691
1912,135,217.0
1912,2808,0.0022623595
1946,1511,277.0
1946,2808,0.0010926053
2395,278,30.0
2395,2808,0.00021543959
2648,2542,1.0
2648,2808,0.00797924
3012,3426,201.0
3012,2808,0.0002734214
3080,3178,274.0
3080,2808,0.00114353
3410,1394,222.0
3410,2808,0.0005980786
3693,278,200.0
3693,2808,0.0012013055
3732,1629,199.0
3732,2808,0.0030266978
4058,3300,15.0
4058,2808,0.00032273773
4126,1394,29.0
4126,2808,0.00039580278
4579,3178,13.0
4579,2808,0.0014944547
4600,2511,34.0
4600,2808,0.00041414797
4829,1394,274.0
4829,2808,0.00029949844
4934,278,15.0
4934,2808,0.00020795502
5100,1799,218.0
5100,2808,0.0012049582
5156,1197,12.0
5156,2808,0.00045422465
5172,1350,202.0
5172,2808,0.0013656896
5557,309,11.0
5557,2808,0.0021825237
5841,2808,200.0
5841,2808,0.00034560263
5948,996,22.0
5948,2808,0.0012964979
