user_id,item_id,rating,timestamp,interaction
229,3089,4.0,2003-02-27 06:02:19,1
229,2839,5.0,2003-02-27 06:04:15,1
403,1036,4.0,2003-02-27 23:31:15,1
424,2581,3.0,2003-02-27 12:31:39,1
1647,1646,3.0,2003-02-27 05:15:05,1
3462,3893,4.0,2003-02-27 13:14:14,1
3462,1078,3.0,2003-02-27 13:14:38,1
3693,468,3.0,2003-02-27 22:00:12,1
4607,203,4.0,2003-02-27 14:22:07,1
4607,1884,5.0,2003-02-27 14:18:34,1
4607,1962,4.0,2003-02-27 14:03:45,1
4607,2739,4.0,2003-02-27 14:10:10,1
5312,1255,4.0,2003-02-27 04:30:55,1
5312,1261,5.0,2003-02-27 04:40:36,1
5950,3793,3.0,2003-02-27 18:15:10,1
5950,924,3.0,2003-02-27 17:54:22,1
5950,3070,1.0,2003-02-27 17:44:59,1
5950,2439,4.0,2003-02-27 17:44:59,1
5950,2804,4.0,2003-02-27 17:51:03,1
5950,3481,4.0,2003-02-27 18:04:50,1
5950,2858,3.0,2003-02-27 17:51:30,1
5950,2859,4.0,2003-02-27 17:51:30,1
5950,1127,4.0,2003-02-27 17:44:58,1
5950,1196,4.0,2003-02-27 17:53:37,1
5950,3893,3.0,2003-02-27 18:12:49,1
5950,3896,3.0,2003-02-27 18:12:29,1
5950,3152,3.0,2003-02-27 18:00:31,1
5950,3196,5.0,2003-02-27 17:54:22,1
5950,3535,3.0,2003-02-27 18:11:32,1
5950,3555,2.0,2003-02-27 18:15:37,1
5950,3578,4.0,2003-02-27 18:14:30,1
5950,1997,3.0,2003-02-27 17:58:54,1
5950,3911,4.0,2003-02-27 18:03:46,1
5950,3948,4.0,2003-02-27 18:13:57,1
5950,1261,4.0,2003-02-27 17:59:10,1
5950,1262,4.0,2003-02-27 18:17:38,1
5950,1639,2.0,2003-02-27 17:57:06,1
5950,2664,3.0,2003-02-27 17:53:18,1
5950,413,1.0,2003-02-27 17:44:58,1
5950,3654,3.0,2003-02-27 17:54:40,1
5950,3683,4.0,2003-02-27 17:54:56,1
5950,1300,4.0,2003-02-27 17:53:18,1
5950,1358,4.0,2003-02-27 17:53:49,1
5950,2329,5.0,2003-02-27 17:45:48,1
5950,3317,3.0,2003-02-27 18:10:39,1
5950,3328,3.0,2003-02-27 18:04:50,1
5950,111,5.0,2003-02-27 17:50:41,1
5950,3363,5.0,2003-02-27 17:45:48,1
5950,1089,3.0,2003-02-27 17:55:52,1
