user_id,item_id,score
195,2436,31.0
195,1356,0.00022515468
624,2248,23.0
624,1356,0.00031204429
1113,2165,29.0
1113,1356,0.00036991015
1348,1916,88.0
1348,1356,0.0002998095
1352,1916,23.0
1352,1356,0.00030611828
1524,2248,21.0
1524,1356,0.00024159392
1579,2131,8.0
1579,1356,0.00042009726
1733,2436,78.0
1733,1356,9.2267874e-05
2176,2640,13.0
2176,1356,0.00063306093
3106,1916,14.0
3106,1356,0.00026140502
3462,1916,88.0
3462,1356,0.00031188317
3519,3518,13.0
3519,1356,0.00029159524
4277,2436,21.0
4277,1356,0.00021819584
5387,2165,13.0
5387,1356,0.000644397
5484,247,8.0
5484,1356,0.00034712628
5654,938,10.0
5654,1356,3.898889e-05
5948,2640,22.0
5948,1356,0.00030977372
