user_id,item_id,score
195,2340,30.0
195,1356,0.0015559122
518,2952,21.0
518,1356,0.0003309846
624,2248,14.0
624,1356,0.00067362376
1113,3844,23.0
1113,1356,0.0005261176
1306,2640,5.0
1306,1356,0.00054459274
1348,2640,6.0
1348,1356,0.0017654747
1524,2952,6.0
1524,1356,0.0007747151
1579,2248,6.0
1579,1356,0.00039252453
1647,3844,30.0
1647,1356,9.199232e-05
1733,3006,34.0
1733,1356,0.00037657702
2176,1916,17.0
2176,1356,0.0019552587
2860,1080,17.0
2860,1356,0.0007040277
3462,3006,130.0
3462,1356,0.0004890417
3519,1916,15.0
3519,1356,0.0004970953
4277,1916,19.0
4277,1356,0.0018182136
4600,1417,34.0
4600,1356,0.00043151365
4748,922,30.0
4748,1356,0.001035281
5387,2436,130.0
5387,1356,0.00061942916
5448,2640,21.0
5448,1356,0.000938423
5484,247,23.0
5484,1356,0.00024253875
5654,1080,130.0
5654,1356,8.5771084e-05
5948,3844,15.0
5948,1356,0.0006489828
